left_ebr,right_ebr,left_eye,right_eye,nose,mouth
0.0655007765936425,0.12192373983046903,0.1492816378641641,0.22529742881150813,0.30424578223171994,0.13375063466849618
0.058101791203312436,0.11967729830619056,0.08932750590354246,0.14342389470882755,0.3044357438165506,0.2850337660615764
0.16218177127585667,0.0883232132370104,0.10024488961051808,0.02825494023394054,0.3176911174316446,0.3033040682110296
0.07811506333949281,0.1034484342455203,0.15471913571521173,0.18968683270709508,0.26000692796782443,0.2140236060248556
0.06428587952229414,0.09110585109184782,0.18461480308222972,0.20894164548627397,0.30648616414701835,0.14456565667033588
0.028073235459601387,0.15449626422376989,0.10748181037498253,0.2199984737802407,0.30882662811363215,0.1811235880477732
0.1040809663856117,0.050513862828794165,0.21000387384050245,0.13940220492998698,0.2980580115095568,0.19794108050554782
0.01960579301633697,0.13416052128883835,0.07686784559302928,0.1988506966739133,0.325708214061629,0.24480692936625303
0.08963747410327133,0.07691522221152991,0.1636603275208097,0.15033004615972426,0.2840342100843693,0.23542271992029534
0.13191847765898737,0.0839641777524468,0.18226100537030304,0.10424100760394245,0.2829544064960151,0.2146609251183051
0.06470250493675667,0.08596748606112187,0.1530038530352643,0.1640717515761431,0.3066269769627623,0.22562742742795153
0.08303561130120662,0.05903323325215665,0.1684814589706234,0.1363224899083558,0.320605493445329,0.2325217131223283
0.08963600867777563,0.11912765355628119,0.16775141637862892,0.19541581635900593,0.3149203156389454,0.11314878938936293
