inputs,label
"[0.012627258853404932, 0.0001565155841263266, 0.008863789119852333, 0.01130424125256041, 0.023149605680748253, 0.006685758674642717, 0.001518677115026179, 0.009555390024766339, 0.022840370748288208, 0.036566141170427446, 0.00029888948585687913, 0.000660321705864414, 0.002282179687711272, 0.055186982995625106, 0.03155728907225103, 0.028282884847272843, 0.09710894964619782, 0.01373993352720658, 0.01938896048005536, 0.05372549019607842, 0.0888888888888888, 0.02921568627450999]",1
"[0.01835932622852915, 0.038381925786359294, 0.012852518259700518, 0.02161700186598997, 0.004041744424404414, 0.022072314281298994, 0.011262762579227648, 0.005834639379525483, 0.006957325606264997, 0.032490824103843796, 0.03266890323973132, 0.030169852597587213, 0.01885852098526601, 0.00234538420331825, 0.011029621917606869, 0.0044492250759265994, 0.026155077637040475, 0.002052966070684531, 0.015612031441880711, 0.14235294117647057, 0.16339869281045744, 0.06529411764705872]",1
"[0.019797263655604413, 0.010359785789813336, 0.005652684640200856, 0.006059079105055154, 0.014712048841345193, 0.018883195637894423, 0.035096013728870945, 0.027770307103198208, 0.003121901372778235, 0.02272701323435783, 0.023963239188454055, 0.004558485090111086, 0.01814109269220905, 0.0013207997661157933, 0.012633885301228054, 0.00900782907843864, 0.014292612397573096, 0.05060964300961898, 0.05221009833401204, 0.020000000000000018, 0.10196078431372546, 0.1958823529411765]",1
"[0.02316347626245041, 0.04667433688630718, 0.0034447594634706147, 0.010882759003042336, 0.011219414692470564, 0.004325915903595351, 0.004415264196752311, 0.018585345724480992, 0.009784681345685164, 0.017764990771119427, 0.049045615301639256, 0.0200015324154732, 0.02167926290676847, 0.011983434813170931, 0.014076002544751776, 0.0008830043908447383, 0.034237131854040745, 0.011299342630072956, 0.008705809572868345, 0.08196078431372544, 0.09891067538126364, 0.2119607843137255]",1
"[0.054705050520515386, 0.016182819483911537, 0.026832560614533263, 0.010188796049225596, 0.04514420203411068, 0.039043680220821775, 0.04194566593363769, 0.02345086177340862, 0.014085945925529475, 0.011233725419830476, 0.009325028713492722, 0.0018453427319596039, 0.015161709975578891, 0.024595278499408006, 0.0037820877701761346, 0.014211744673645804, 0.02576364133614714, 0.007922804787999962, 0.006074345351431115, 0.10901960784313725, 0.14204793028322438, 0.09745098039215694]",1
"[0.01045381379756849, 0.011161171355439647, 0.009487483266018643, 0.009974528812051547, 0.02091801309749519, 0.02814525658874356, 0.005484592633501872, 0.07446319149848961, 0.023298132824532358, 0.02847793157793821, 0.02714866151324566, 0.009147711287398996, 0.028134680243887253, 0.005872213812684031, 0.09556328896829275, 0.04669585976624138, 0.020319665004663756, 0.0014687396685809234, 0.002971089265112914, 0.1435294117647059, 0.0797385620915032, 0.06156862745098046]",1
"[0.03801156080132584, 0.04245453010412531, 0.01376697378520525, 0.0021332446864603116, 0.07464992162726208, 0.01854481482828091, 0.0161257214945274, 0.033989665503530414, 0.023585542671170412, 0.026200790072453906, 0.008088085206218384, 0.02229090695356631, 0.021103380822319967, 0.11428445834489322, 0.038647367105975605, 0.02718615239989622, 0.09424644820918321, 0.019341780043239262, 0.029856377682520654, 0.1388235294117649, 0.15991285403050115, 0.0017647058823530015]",1
"[0.05182402888896953, 0.04135344212194614, 0.007159586045143995, 0.001761175788179442, 0.005236806903609448, 0.0005396344174305734, 0.0052950754022476065, 0.00015645410608233767, 0.0044516457102919404, 0.09005867965014552, 0.002811085135710323, 0.030750639288305265, 0.03246344869969332, 0.12800393124013554, 0.010931794502738124, 0.04167223354519248, 0.12222296088128747, 0.024711343143606346, 0.04083071904722124, 0.09294117647058814, 0.025708061002178706, 0.15705882352941175]",1
"[0.11552127632862075, 0.08192001317047409, 0.014106450895976286, 0.008907313545421958, 0.056682533010294356, 0.017546859424095868, 0.0263571745630532, 0.03853855882849361, 0.013396541776050014, 0.019485602937087843, 0.03291866588152244, 0.04339752139090412, 0.004522603207387538, 0.06461942716849654, 0.058507379748858, 0.0009396633320205711, 0.0804832002481159, 0.005242977200493833, 0.002281204797271001, 0.05294117647058816, 0.02875816993464053, 0.24588235294117633]",1
"[0.05458555928574971, 0.04773284404722561, 0.009377384124716004, 0.00389198905636734, 0.13566550974109304, 0.024050331765835903, 0.014256075377063304, 0.045699687545796286, 0.024510676764934347, 0.05094080884337798, 0.005325694597662703, 0.0309987167883731, 0.04970010524875147, 0.03670651606763298, 0.012756571050012266, 0.03077473861685942, 0.034919230569208454, 0.011014849495963722, 0.030090681397611924, 0.04901960784313719, 0.056644880174292034, 0.019215686274509758]",1
"[0.02462144729284846, 0.07373594942905143, 0.004958523195376124, 0.01935637365610865, 0.01772207232921491, 0.01259144597580747, 0.08417341984101934, 0.0014642215636807565, 0.002863286765972195, 0.0572092499299065, 0.023223764163615712, 0.012027696692840983, 0.009529586975659574, 0.0865625601648274, 0.017489476110606472, 0.0162279411736556, 0.09176241153920422, 0.015340476701111619, 0.021458086908923243, 0.05764705882352944, 0.03790849673202629, 0.06372549019607843]",1
"[0.061998324791522036, 0.09001376635599545, 0.00625766988011528, 0.021433976227907853, 0.003476827668988214, 0.050972217931987335, 0.09735612110738401, 0.04519826349849901, 0.010726444919533229, 0.08397080551234992, 0.033509614422082945, 0.06917032361694783, 0.0014998153998146413, 0.09227656329711385, 0.027961762821676728, 0.0009572041333480996, 0.10697422899878209, 0.010678054506961007, 0.000644422749520937, 0.136470588235294, 0.3124183006535948, 0.13549019607843138]",1
"[0.0029833315699194507, 0.11134727988633991, 0.00026211964228869955, 0.015139206342681483, 0.029548222844138605, 0.04317525948827966, 0.0900778854457166, 0.05812750585372661, 0.009272479494547597, 0.04189589812440647, 0.023060648470321465, 0.06034214196132237, 0.015895950044819, 0.08871443520918595, 0.05755119750394344, 0.005878269712513456, 0.10193293176280632, 0.02127532993283042, 0.03242090787259533, 0.08196078431372567, 0.18257080610021797, 0.13882352941176468]",1
"[0.06096673222564805, 0.13456001495835018, 0.014442687288443223, 0.02133391978130103, 0.013870336974809327, 0.035843747606142284, 0.13667611583015438, 0.08158006274235524, 0.02260145799492219, 0.0770594443205434, 0.08991279741603513, 0.05761266581741811, 0.03280527966072533, 0.03390028871896171, 0.0420250620172693, 0.006738636489523719, 0.04000496319905894, 0.03290665719094257, 0.039697720828151525, 0.1670588235294117, 0.1808278867102397, 0.10078431372549024]",1
"[0.011571072309464803, 0.1108608239970898, 0.016208437631921674, 0.03073036286307812, 0.092072717093864, 0.04914889288580665, 0.056222476267087096, 0.014887213332082455, 0.02972383697734282, 0.028953122966239975, 0.032940667107589056, 0.021586880280362153, 0.008723596147381843, 0.0036081938203333525, 0.053827315673377174, 0.011075173301637722, 0.037520649061617506, 0.02517459892846967, 0.031524291954014225, 0.04784313725490191, 0.028758169934640476, 0.030980392156862713]",1
"[0.056269760609418906, 0.030246283378030592, 0.002224925025025498, 0.0036360542516107597, 0.07621797067308411, 0.053795751128942915, 0.04377024920788286, 0.04850693782029031, 0.03524023550840816, 0.04064767064069208, 0.0012082763516756134, 0.005636744503507096, 0.012149332179972772, 0.0618794080930953, 0.040399590533655105, 0.001095622607774266, 0.07643784800117531, 0.04229722662657126, 0.04993412010913752, 0.13843137254901966, 0.09716775599128546, 0.06411764705882356]",1
"[0.032191543761578234, 0.13246747077419818, 0.007595533787462888, 0.04116260231659161, 0.10238865984571227, 0.041739024557864796, 0.07169318412422088, 0.03554420241800585, 0.03286808415325082, 0.02959710498979179, 0.04580771261711711, 0.04247465462276176, 0.008138304791472595, 0.011439221040324826, 0.01716443964021458, 0.008403753039457493, 0.001810723701164696, 0.018143502192696843, 0.008520266422636431, 0.17333333333333334, 0.003485838779956396, 0.19274509803921563]",1
"[0.02266594320173032, 0.07929035212029467, 0.009130882716637173, 0.014467604027286612, 0.04927739734604425, 0.05671831147457945, 0.017095440293776853, 0.02102729493759775, 0.027821734632335227, 0.009103687403248018, 0.010570187568620992, 0.03614643231235751, 0.011695427123141033, 0.09989571259569037, 0.06843926778514223, 0.019525805365464374, 0.09686565263572355, 0.003751828697874701, 0.0171036743759347, 0.18196078431372548, 0.04923747276688445, 0.01901960784313722]",1
"[0.0025116922967322597, 0.07324078089495567, 0.005114508033612797, 0.010793490641388653, 0.012601965394875958, 0.002354603975890296, 0.019117254215077706, 0.00689950226714342, 0.0005875520954979341, 0.03292502969027683, 0.020513309157196735, 0.025484214185504867, 0.00594171567681806, 0.005692828508847447, 0.009195919767520322, 0.0127974621177393, 0.012188444875757987, 0.006730925818124178, 0.005726900445241032, 0.084313725490196, 0.13202614379084976, 0.08470588235294119]",1
"[0.06600853101320575, 0.17621361818245104, 0.002086979299862457, 0.047183172576708315, 0.012887688451724222, 0.008362057259061223, 0.007600595733666116, 0.03717823171334278, 0.0410241913950784, 0.017675363834678326, 0.0900936207054058, 0.07403981236059812, 0.030596725094391444, 0.010023514294154365, 0.02539688503785431, 0.007555182016083892, 0.04604619953055333, 0.008057036761694253, 0.01131865037523884, 0.14392156862745087, 0.2479302832244008, 0.26941176470588235]",1
"[0.02246254399017955, 0.020610898376101916, 0.0032293393153248195, 0.006696751478566659, 0.02070204149117799, 0.005232964101524157, 0.016384546357595342, 0.014966719603367679, 0.022075793643809627, 0.013038738084787782, 0.005960585186961673, 0.007507149801614543, 0.0092537548501688, 0.025979408805412454, 0.006652602173620903, 0.011075582921264163, 0.0043568178982411054, 0.01259992421269697, 0.01380812664825247, 0.07764705882352929, 0.10108932461873643, 0.10784313725490202]",1
"[0.014784407500950558, 0.04656342279562703, 0.0014967268855443083, 0.002345370851207562, 0.0017964159992552298, 0.012358657947653506, 0.004598523264286558, 0.0021935203778111756, 0.0045195018572299905, 0.0268196435562138, 0.00047950319165257493, 0.02270761028136603, 0.00819673896520029, 0.002928784559146247, 0.015238002607131124, 0.0023027386782371873, 0.012702562131628015, 0.026887188593257172, 0.029994877333728853, 0.07764705882352929, 0.14030501089324632, 0.0978431372549019]",1
"[0.054017896212344596, 0.05691182148142915, 0.01235762284237496, 0.03255111074880873, 0.03865838669837118, 0.007710644787602999, 0.02742892167195321, 0.0005177699597957719, 0.004174378044275839, 0.015002480080424485, 0.01603330479166784, 0.05213024527797734, 0.014850100538463723, 0.03412035315911684, 0.003102454069198568, 0.008984516251077934, 0.003369911300047962, 0.03572145325413295, 0.023607176730680177, 0.16745098039215695, 0.21220043572984754, 0.035686274509803995]",1
"[0.04183583604544633, 0.06853295511427326, 0.005447480027873902, 0.023600395040190375, 0.04718814541810007, 0.02890274583378652, 0.013834980743635317, 0.004543905828311573, 0.012506455062462202, 0.08202513337180745, 0.0025639868777892205, 0.0699719835472876, 0.0324073522628158, 0.09066048903186825, 0.004605885615461769, 0.041937197551221855, 0.12746421034932215, 0.0005667062741991913, 0.005463047243799021, 0.1482352941176472, 0.21699346405228753, 0.23176470588235287]",1
"[0.03842276971714842, 0.004558297781997733, 0.007337221496616975, 0.005321493773749519, 0.007449315950218971, 0.010605862099769409, 0.016635718674522626, 0.006117790093504716, 0.010998266001764595, 0.01765868505591417, 0.017224242867637712, 0.006469236490736163, 0.0032157619436626594, 0.006555116508640019, 0.016150787747336304, 0.023982221823405606, 0.023994433397577425, 0.019227496325066165, 0.013179653927006124, 0.10627450980392172, 0.13769063180827895, 0.17666666666666653]",1
