image_set,image_name,left_eyebr_width,right_eyebr_width,left_eyebr_y_pos,right_eyebr_y_pos,dist_inner_eyebr,dist_outer_eyebr,eyebr_inner_slope,eyebr_outer_slope,dist_inner_eyes,dist_outer_eyes,eye_shape,nose_width,nose_height,nose_shape,mouth_width,mouth_height,face_width1,face_width2,face_width3,eye_to_eyebr,nose_to_eyebr,philtrum
9,39.jpg,0.362944481980071,0.3621429841700742,1.0391658694125736,1.0359329233414152,0.17411769633542631,0.8990501427418295,-0.0704974271012007,-0.42857142857142855,0.2891396105867332,0.6794080314983051,1.8586512015055092,0.21584564074835977,0.37811628092838734,1.7437145811572892,0.43197165515847574,0.12314544075863347,297.4861341306515,287.39171873942365,205.24375751773792,38.38783451078088,140.47706292260204,0.22818558933898664
9,40.jpg,0.35458892849225193,0.3296384629202383,1.0408802764524279,1.0316537927650615,0.17016306185944283,0.8543588382867933,-0.01903453689167975,-0.375,0.27999928216908,0.6486930810463449,-2.589520958083824,0.18079377490918822,0.3612138243563621,1.9411994200279061,0.3793057767909894,0.12043530400408373,290.06206232459976,282.14358046923553,212.11553455605272,34.04487422598842,127.79079261638935,0.2299322275819297
11,23.jpg,0.36735720667584315,0.38533393976099445,1.0501590480866543,1.0379074243656172,0.17820859882858917,0.9202833992510128,-0.027777777777777776,-0.7073170731707317,0.29536802135850304,0.6927252488051723,-26.998400088270984,0.2385103156591565,0.3600035177230769,1.4762146406401655,0.41666666666666674,0.07776579859920862,280.515596714336,264.27258654654287,194.0412327316027,46.048743099013166,128.7896708873135,0.20636644797539969
11,33.jpg,0.34934784802388424,0.3809728765152877,1.0344014207895245,1.0408007486289983,0.09304350914811088,0.8149003006503311,-0.043504901960784326,-0.7027027027027027,0.24597196779248837,0.6088879557189012,1.4073739313825229,0.22169553113202017,0.36722135664563216,1.4734934950564127,0.39125793317231317,0.06358846757609483,250.28783430282823,248.12899870833317,180.0,39.64584258584836,105.72722606821608,0.1907654027282845
7,20.jpg,0.37083333333333335,0.36402934100304485,1.0413666234542207,1.0351689509709074,0.14172792793079125,0.8758032027801679,0.04192546583850931,-0.3953488372093023,0.27512623365365296,0.6627096104462178,2.413353008180593,0.21254084574761417,0.38090470874379023,1.7252699774249372,0.3918660839850494,0.06506686014009597,250.01799935204664,240.0,183.0109286354233,27.270052341310453,108.85242368747559,0.1952005804202879
7,19.jpg,0.3407877494821534,0.35674418977320604,1.049680352794029,1.036215613356956,0.17989203065453443,0.8754148237327648,-0.02525252525252525,-0.5,0.2872187050578492,0.6609021494957913,33.701236890104866,0.22489164799086256,0.36477855848764285,1.5248377443881818,0.39789830472688903,0.09207210863736529,297.1363323459452,289.06227702694105,215.00930212434997,36.85432353765565,129.7266193995681,0.20660176495751936
6,5.jpg,0.38451001250377603,0.36332957590090853,1.0385073793764281,1.0530213382806672,0.1678428021265164,0.9082151913957789,-0.15,-0.6808510638297872,0.29017638537680873,0.6747953008095213,-18.55295856880872,0.18841006816593303,0.3703463957246347,1.8180285080235978,0.35193058007745587,0.10581325592132419,310.3353025358217,289.0069203323685,200.0024999843752,31.462377146775065,127.0018249518482,0.22869498094035084
6,6.jpg,0.30647918268141144,0.3584946153517347,1.0404600844397314,1.0574892726257898,0.19383445454001821,0.856135121817376,-0.043743372216330845,-0.5714285714285714,0.27985154116967115,0.6437270692721947,-12.055782331314873,0.16012561311673376,0.36058465260773154,1.9194806434538638,0.3202512262334675,0.126518726060191,260.27677575995904,251.04979585731593,182.00274723201295,19.784207802928982,103.97374251466852,0.22008152861579833
1,2.jpg,0.3375598969149054,0.3780596893859772,1.0765868015665094,1.0053946252188055,0.1695246931466798,0.879001162065713,0.020434782608695648,-0.6216216216216216,0.306517839539213,0.6734926337372291,-6.590639106676164,0.20968891442384283,0.33400944472167654,1.5208957376270005,0.4638071098102456,0.17358772933017114,259.0308861892728,248.03225596683993,183.06829326784035,36.927122869636506,104.4189348699856,0.2584398953317118
1,0.jpg,0.39719127327821185,0.37226363367354576,1.0519160036177329,1.0221781101451204,0.12282259626857998,0.8855828115849014,-0.05342505854800936,-0.6078431372549019,0.2905377273270281,0.6755378518982623,-14.060282074613283,0.2240150901210645,0.3233684197988847,1.3961841158177797,0.4652310144678418,0.14139825383476423,302.72925197278175,286.0087411251621,214.5250568115529,47.519503676495304,122.75364134682093,0.24623927349332286
