inputs,label
"[11.83512865  4.32990058  2.75102112  2.51645257  9.83485465  8.03759315
  4.17265657  1.92479136  0.28614529  0.28614529  0.28506684  3.05352721]",1
"[1.63473432 1.70547    0.77022137 2.88316988 0.04790506 0.82287809
 1.54351398 2.7937747  0.69759772 0.         2.48139903 0.25287344]",1
"[8.78219035 4.51417568 1.17742799 5.65489109 5.32474264 2.42272953
 2.81397248 6.19889601 1.26205918 0.93939051 3.38931519 2.54703668]",1
"[11.23515523  5.272339    2.98738177  3.47455572  7.75471659  4.3551328
  2.19855002  4.69403315  1.38516481  0.44578709  2.27716761  1.70014379]",1
"[6.52913026 4.10986338 3.1179463  3.47455572 4.14870363 1.30226766
 1.74417109 3.11246226 0.91302885 0.69759772 6.72130522 2.39508861]",1
"[4.03702434 0.9756656  1.09351321 6.38359321 2.06422806 0.23308796
 3.15900917 7.6025161  0.28614529 0.93939051 6.52456741 4.44822251]",1
"[ 1.13543255  5.66321738  6.34445231 10.93132631  0.72467846  0.89733105
  5.58290691  9.17568807  0.28614529  1.26205918  0.58688877  4.15600528]",1
"[0.80169773 1.44139736 2.13094149 7.06790191 0.67654059 2.81557411
 5.58290691 5.80752576 0.28614529 1.26205918 5.81932168 1.95325492]",1
"[5.43661282 1.93641093 2.0033617  1.28255996 4.24196246 6.20716229
 4.93959688 1.96483054 0.28614529 0.38516481 5.41975655 6.67495416]",1
"[13.7257356   3.36083066  1.16606582  3.88655398 10.58046909  6.27809503
  0.28456895  3.03006936  0.28614529  0.44578709  6.94886203  6.51073202]",1
"[ 4.388258    7.17472477 10.17742799 13.71573818  2.52070052  3.63250711
  7.16473066 10.75502343  1.26205918  2.22288715  1.74154313  8.85372088]",1
"[0.29690897 4.92255421 4.86613925 3.50770351 1.6912946  0.67574902
 0.28456895 0.20352942 0.93939051 0.28614529 0.70657205 4.64434817]",1
"[ 4.996225   11.166203   11.16272529 14.16177369  2.12731234  2.67359037
  5.22368882  9.6759835   0.69759772  1.26205918  2.48139903 13.85372088]",1
"[14.67968704  7.04319116  4.12867649  3.71297806 13.08964996  6.15407947
  0.59630835  3.31189774  0.38516481  0.         12.24758617  7.54691605]",1
"[2.78726624 1.46429678 1.99178223 4.40176582 2.68191453 1.36667686
 0.22639224 0.78170516 0.69759772 0.91302885 1.83569827 4.05473101]",1
"[1.02759122 6.52153856 4.16523468 1.27020623 0.68872303 0.44717637
 1.47156964 3.13597378 0.28614529 0.44578709 2.20950792 1.05021238]",1
"[7.02638725 8.24387886 7.12483281 5.4780536  4.24196246 4.02453806
 3.4086725  3.35260824 0.28614529 0.         2.39039569 1.92200868]",1
"[19.25197008 10.12205669  7.84111859  2.66125277 14.26623165  6.36701302
  0.99250928  1.22435481  2.22288715  0.28614529  9.41311123  3.16479129]",1
"[1.86467509 0.47902812 0.99615753 6.49688975 2.20647318 2.33120191
 5.08599552 6.38489158 0.28614529 0.         3.60445918 1.83100534]",1
"[5.6221506  5.00971445 4.06781841 2.66904682 2.61007766 1.68167201
 0.12054995 2.36507616 0.         0.28614529 2.48139903 2.54703668]",1
"[3.10569803 5.49883118 4.56954698 0.         1.26543544 0.26233573
 0.59630835 1.82293527 0.         0.         0.42637347 1.64137668]",1
"[ 2.32785834  3.36083066  3.07042145 10.57045417  1.84074973  1.78869528
  5.94685215  6.39297295  0.69759772  0.91302885  5.41975655  3.94915667]",1
"[0.32482834 2.96757887 4.86613925 5.7428322  0.99472664 0.23308796
 2.24154028 3.35260824 0.38516481 1.77961353 0.64681694 4.05473101]",1
"[14.41379883 14.31621309 15.02780113 10.3234453  12.02680728 10.66862207
  7.943319    8.00748405  1.38516481  2.22288715  4.56367799  4.64434817]",1
"[3.1253361  0.17764658 0.13300547 5.14897326 2.10206658 1.74278527
 0.49271531 3.63836551 1.38516481 0.         5.624817   2.45278632]",1
"[30.33048516 23.74449836 22.09063523 18.91570513 24.72529209 18.31383522
 13.54382467 14.56863629  3.38516481  2.22288715 17.34204342  9.29350111]",1
"[4.45880332 1.83233505 1.02994788 0.80840697 4.08223164 4.07389781
 2.77844785 0.18985876 0.         0.69759772 1.08930365 1.70014379]",1
"[6.52913026 4.92255421 4.86613925 5.14897326 2.06422806 0.70409513
 2.60535638 5.14521783 0.         0.93939051 6.60861742 3.60533955]",1
"[7.99356661 0.9756656  1.91821936 2.92032176 7.52002934 4.90870459
 0.49271531 1.77439957 1.26205918 0.44578709 4.48825239 1.64137668]",1
"[4.45880332 4.51417568 2.98738177 2.82739391 0.92088056 0.91224149
 1.87255945 3.39374813 0.28614529 0.93939051 8.79261188 0.1471817 ]",1
"[0.27830412 0.87794331 0.57922175 8.44603474 0.04790506 3.97525829
 8.1816121  8.87944595 0.44578709 0.38516481 6.82788747 6.51073202]",1
"[2.97174691 1.19029142 3.07042145 5.3133474  2.87291415 1.40854594
 1.22591909 3.56122433 0.28614529 1.26205918 2.60540094 6.76571339]",1
"[5.20056256 7.00381959 7.69409836 0.         3.92317575 4.07389781
 1.46104311 0.21510452 0.         0.         5.30813806 1.18215279]",1
"[3.59109379 5.12205669 4.65582881 1.69946315 3.76096957 1.96219873
 1.68695812 2.3171711  0.44578709 0.69759772 1.58768681 2.45278632]",1
"[8.78219035 3.528788   2.75102112 4.92045803 5.60050835 5.64599062
 4.0867808  2.611382   0.28614529 1.26205918 2.20950792 0.35371599]",1
"[3.43070063 2.40203796 1.07527385 0.29366759 1.41400335 0.
 1.24033902 1.08879247 0.         0.44578709 0.81226379 0.50848582]",1
"[0.96160631 4.67455986 3.40423084 0.         0.61568251 2.12736187
 1.28844966 1.05173566 0.93939051 0.93939051 0.37148067 1.71777726]",1
"[0.96160631 0.83887704 1.7608413  5.58819012 0.4766036  1.54458231
 2.56581698 3.17277913 0.         1.26205918 2.45861283 6.64907035]",1
"[1.86467509 2.93201047 2.42231134 2.13583472 2.87291415 0.49014768
 0.66854533 0.35687261 0.93939051 0.28614529 3.0459492  1.05021238]",1
"[2.81203044 3.36083066 3.12983591 3.1296527  0.71309878 1.78869528
 1.46104311 0.82055823 0.28614529 0.91302885 2.48139903 3.33543636]",1
"[ 2.41338635  4.60721035  5.31019425 10.6884757   3.43691265  1.54458231
  3.52801234  7.6025161   1.38516481  0.93939051  1.94090618  5.35244285]",1
"[ 0.52486712  4.10986338  5.36536952 11.10671081  0.91271912  0.49014768
  3.96697794  9.86154759  0.93939051  1.26205918  2.5127128  10.85372088]",1
"[1.63473432 2.1685935  0.99615753 5.14897326 2.320139   2.89795869
 5.35897785 6.9168183  0.28614529 0.93939051 3.60445918 0.35371599]",1
"[5.87064603 6.28908101 4.97792551 1.35310529 2.52070052 1.86535577
 0.28456895 1.39629054 0.         0.         5.81203599 1.05021238]",1
"[0.32482834 2.96757887 3.12983591 1.28255996 0.107988   2.23586634
 1.98454106 0.4594368  0.69759772 1.32303913 1.98764633 0.18790968]",1
"[2.69039407 1.38420123 0.77022137 0.46906279 2.82804673 1.33873692
 0.71431342 1.08879247 0.93939051 0.         1.08198634 4.98575862]",1
"[ 6.18307989  9.9510459  10.16314519 14.13458733  5.01017259  8.82585377
 11.65450713 10.40812099  0.38516481  0.38516481  5.41975655  3.60533955]",1
"[1.18978074 1.93641093 2.45740927 6.33312007 2.320139   0.82287809
 3.50940278 4.75267409 0.93939051 1.38516481 1.98764633 1.00640157]",1
"[0.04624479 2.04073823 1.16606582 0.06867369 0.324809   0.23152093
 0.89055605 1.82293527 0.38516481 0.         1.08930365 4.64434817]",1
"[0.32482834 5.88774629 6.08659448 6.27007227 0.57921087 0.20386518
 1.74417109 4.0084657  0.91302885 0.28614529 2.48139903 2.56596874]",1
"[12.92741476  6.7945209   5.06508575  0.48333329  8.92285316  5.31791116
  1.61876368  0.          2.22288715  0.          5.97402232  1.14627912]",1
"[16.55369472 15.28918891 14.16130315  6.33312007 11.31147944 10.27225877
  6.31571624  3.93982529  1.38516481  0.          6.72130522  3.72910909]",1
"[ 2.55887364  0.0553713   3.28905527 14.06867369  1.22837863  1.56164928
  8.15894281 10.81139713  0.44578709  0.93939051  2.77980358  7.54691605]",1
"[7.99356661 6.7945209  7.16427237 4.70362899 5.48995023 5.28359124
 3.62735449 3.04880307 0.28614529 0.91302885 3.8948267  3.2624606 ]",1
"[8.76009865 5.49883118 5.06508575 0.72176547 4.84711426 3.76262742
 1.28844966 1.05173566 0.91302885 0.         5.97402232 0.        ]",1
