image_name,Eye_br_L,Eye_br_R,Eye_soc_L,Eye_soc_R,Nostril_L,Nostril_R,Moustache,Face_Width,Face_Height,isSimilar,isSame
0.jpg,114.93476410555685,108.55873986004076,56.08029957123981,54.037024344425184,17.029386365926403,15.297058540778355,132.06059215375342,301.66372005927394,276.02762542905015,"['10.jpg', '11.jpg', '17.jpg', '22.jpg', '23.jpg', '32.jpg', '39.jpg', '4.jpg', '8.jpg']",[]
1.jpg,103.23759005323593,108.67382389517726,56.08029957123981,56.0357029044876,13.601470508735444,17.464249196572982,114.01754250991378,279.7892063679369,282.74414229122414,[],[]
10.jpg,87.55569655939013,89.4986033410578,43.0,45.0,13.152946437965904,12.16552506059644,98.0,241.05186163977245,221.5005643333669,"['0.jpg', '11.jpg', '15.jpg', '17.jpg', '20.jpg', '23.jpg', '24.jpg', '29.jpg', '32.jpg', '33.jpg', '39.jpg', '4.jpg', '42.jpg']",['22.jpg']
11.jpg,89.67719888578144,93.7709976485267,47.38143096192854,48.16637831516918,12.649110640673518,13.601470508735444,95.0473566176356,259.2778432492835,231.73799861049977,"['0.jpg', '10.jpg', '15.jpg', '17.jpg', '19.jpg', '2.jpg', '20.jpg', '22.jpg', '23.jpg', '24.jpg', '29.jpg', '3.jpg', '32.jpg', '33.jpg', '34.jpg', '38.jpg', '39.jpg', '42.jpg', '43.jpg', '5.jpg', '7.jpg']",['4.jpg']
13.jpg,61.13100686231171,60.41522986797286,36.124783736376884,36.0,10.198039027185569,10.198039027185569,91.02197536858887,190.010526024218,222.02026934494063,"['14.jpg', '16.jpg', '18.jpg', '19.jpg', '26.jpg', '34.jpg', '36.jpg', '37.jpg', '40.jpg', '7.jpg']",[]
14.jpg,81.05553651663776,80.02499609497022,47.2652091923859,46.38965401897282,12.649110640673518,13.92838827718412,94.08506789071258,253.0494022913313,232.50215052768863,"['13.jpg', '16.jpg', '19.jpg', '26.jpg', '34.jpg', '36.jpg', '40.jpg', '7.jpg']","['18.jpg', '37.jpg']"
15.jpg,85.61541917201598,89.84430978086479,45.011109739707614,45.011109739707614,13.152946437965904,14.035668847618199,98.08159868191385,253.00790501484337,239.50052192009937,"['10.jpg', '11.jpg', '16.jpg', '17.jpg', '19.jpg', '2.jpg', '20.jpg', '22.jpg', '23.jpg', '24.jpg', '29.jpg', '3.jpg', '32.jpg', '33.jpg', '34.jpg', '38.jpg', '39.jpg', '4.jpg', '42.jpg', '43.jpg', '5.jpg', '7.jpg']",[]
16.jpg,66.12110101926616,67.11929677819934,36.124783736376884,36.22154055254967,10.198039027185569,10.198039027185569,68.00735254367721,204.0392119177096,187.00601594601173,"['13.jpg', '14.jpg', '15.jpg', '18.jpg', '19.jpg', '2.jpg', '26.jpg', '29.jpg', '34.jpg', '36.jpg', '37.jpg', '38.jpg', '40.jpg', '42.jpg', '43.jpg', '5.jpg', '7.jpg']",[]
17.jpg,111.08555261599052,110.67971810589329,58.034472514187634,60.03332407921454,16.492422502470642,14.560219778561034,115.00434774390057,310.41262860908216,324.7602962186112,"['0.jpg', '10.jpg', '11.jpg', '15.jpg', '20.jpg', '22.jpg', '23.jpg', '29.jpg', '3.jpg', '32.jpg', '39.jpg', '4.jpg', '42.jpg', '5.jpg']",[]
18.jpg,81.05553651663776,80.02499609497022,47.2652091923859,46.38965401897282,12.649110640673518,13.92838827718412,94.08506789071258,253.0494022913313,232.50215052768863,"['13.jpg', '16.jpg', '19.jpg', '26.jpg', '34.jpg', '36.jpg', '40.jpg', '7.jpg']","['14.jpg', '37.jpg']"
19.jpg,98.41239759298622,102.12247548899313,54.00925846556311,53.084837759947995,15.524174696260026,16.492422502470642,115.0173899895142,298.1358750637031,271.7434451831359,"['11.jpg', '13.jpg', '14.jpg', '15.jpg', '16.jpg', '18.jpg', '2.jpg', '20.jpg', '23.jpg', '24.jpg', '26.jpg', '29.jpg', '3.jpg', '32.jpg', '34.jpg', '36.jpg', '37.jpg', '38.jpg', '39.jpg', '4.jpg', '40.jpg', '42.jpg', '43.jpg', '5.jpg', '7.jpg']",[]
2.jpg,83.86298349093002,92.91393867445294,45.011109739707614,46.04345773288535,12.369316876852979,12.16552506059644,114.03946685248928,260.0173071162764,236.7709863982494,"['11.jpg', '15.jpg', '16.jpg', '19.jpg', '24.jpg', '29.jpg', '34.jpg', '4.jpg', '42.jpg', '43.jpg', '7.jpg']",['38.jpg']
20.jpg,88.02272433866156,85.375640553966,47.16990566028302,47.04253394535629,13.92838827718412,12.083045973594572,93.04837451562494,250.04999500099976,231.04382701124044,"['10.jpg', '11.jpg', '15.jpg', '17.jpg', '19.jpg', '22.jpg', '23.jpg', '29.jpg', '3.jpg', '32.jpg', '34.jpg', '39.jpg', '4.jpg', '40.jpg', '42.jpg', '5.jpg', '7.jpg']",[]
21.jpg,93.2630687893123,75.31268153505094,49.8196748283246,48.01041553663122,15.231546211727816,12.369316876852979,101.40019723846693,260.5091169229975,262.2427310718068,[],[]
22.jpg,87.55569655939013,89.4986033410578,43.0,45.0,13.152946437965904,12.16552506059644,98.0,241.05186163977245,221.5005643333669,"['0.jpg', '11.jpg', '15.jpg', '17.jpg', '20.jpg', '23.jpg', '24.jpg', '29.jpg', '32.jpg', '33.jpg', '39.jpg', '4.jpg', '42.jpg']",['10.jpg']
23.jpg,97.51410154434076,101.83319694480774,52.0,52.086466572421685,15.132745950421555,16.492422502470642,111.16204388189342,280.40149785619906,256.99854085188895,"['0.jpg', '10.jpg', '11.jpg', '15.jpg', '17.jpg', '19.jpg', '20.jpg', '22.jpg', '24.jpg', '29.jpg', '3.jpg', '32.jpg', '33.jpg', '34.jpg', '39.jpg', '4.jpg', '42.jpg', '7.jpg']",[]
24.jpg,85.70297544426332,93.34345183246651,44.04543109109048,46.38965401897282,13.341664064126336,13.601470508735444,99.08077512817509,252.33509466580344,221.8524284293503,"['10.jpg', '11.jpg', '15.jpg', '19.jpg', '2.jpg', '22.jpg', '23.jpg', '29.jpg', '32.jpg', '33.jpg', '38.jpg', '39.jpg', '4.jpg', '42.jpg', '43.jpg']",[]
26.jpg,113.44161493913951,118.27087553578016,70.34912934784622,68.59300255857006,18.788294228055925,19.697715603592208,148.27339613025663,360.0055555126893,350.5,"['13.jpg', '14.jpg', '16.jpg', '18.jpg', '19.jpg', '34.jpg', '36.jpg', '37.jpg', '7.jpg']",[]
27.jpg,76.53103945458994,97.32933781753576,48.01041553663122,51.41984052872977,11.180339887498944,12.369316876852979,89.56003573022959,249.35917869611296,232.79282634995442,"['30.jpg', '41.jpg']",[]
28.jpg,87.09190547921202,91.08786966440702,55.226805085936306,56.08921464952064,13.152946437965904,12.649110640673518,103.48429832588128,267.26952688250856,259.0916826144753,"['34.jpg', '7.jpg']",[]
29.jpg,106.30145812734648,111.36426715962351,57.00877125495689,57.3149195236284,15.132745950421555,17.262676501632072,114.35471131527552,313.40867888429636,307.77467407179563,"['10.jpg', '11.jpg', '15.jpg', '16.jpg', '17.jpg', '19.jpg', '2.jpg', '20.jpg', '22.jpg', '23.jpg', '24.jpg', '3.jpg', '32.jpg', '33.jpg', '34.jpg', '38.jpg', '39.jpg', '4.jpg', '40.jpg', '43.jpg', '5.jpg', '7.jpg']",['42.jpg']
3.jpg,88.56635930193814,88.64536084872124,48.04164859785725,49.04079934095692,11.704699910719626,12.369316876852979,90.08884503644168,256.19523805098333,255.75867531718254,"['11.jpg', '15.jpg', '17.jpg', '19.jpg', '20.jpg', '23.jpg', '29.jpg', '32.jpg', '34.jpg', '39.jpg', '4.jpg', '40.jpg', '42.jpg', '5.jpg', '7.jpg']",[]
30.jpg,73.17103251970688,100.62305898749054,45.04442251822083,48.27007354458868,11.401754250991381,13.601470508735444,91.44397191723465,241.54916683772686,225.23598735548455,"['27.jpg', '41.jpg']",[]
31.jpg,50.80354318352215,87.05170877128145,38.05259518088089,41.59326868617085,8.246211251235321,12.369316876852979,86.57944328765345,211.3409567499873,194.12624758130985,[],[]
32.jpg,104.3072384832424,104.07689465006149,56.0,55.326304774492215,15.524174696260026,15.811388300841895,125.19584657647394,298.48450546050117,287.00391983385873,"['0.jpg', '10.jpg', '11.jpg', '15.jpg', '17.jpg', '19.jpg', '20.jpg', '22.jpg', '23.jpg', '24.jpg', '29.jpg', '3.jpg', '33.jpg', '34.jpg', '4.jpg', '40.jpg', '42.jpg', '5.jpg', '7.jpg']",['39.jpg']
33.jpg,86.88498144098322,94.5304183847718,44.04543109109048,45.276925690687094,12.649110640673518,14.31782106327635,97.0463806640928,251.24092023394599,220.77420592089103,"['10.jpg', '11.jpg', '15.jpg', '22.jpg', '23.jpg', '24.jpg', '29.jpg', '32.jpg', '39.jpg', '4.jpg', '42.jpg', '43.jpg']",[]
34.jpg,98.00510190801292,100.28459502834923,55.036351623268054,56.0,15.297058540778355,15.132745950421555,115.0,298.10736320996836,287.0435507026765,"['11.jpg', '13.jpg', '14.jpg', '15.jpg', '16.jpg', '18.jpg', '19.jpg', '2.jpg', '20.jpg', '23.jpg', '26.jpg', '28.jpg', '29.jpg', '3.jpg', '32.jpg', '36.jpg', '37.jpg', '38.jpg', '39.jpg', '4.jpg', '40.jpg', '42.jpg', '43.jpg', '5.jpg']",['7.jpg']
35.jpg,75.95393340703299,90.0,45.011109739707614,46.690470119715,9.219544457292887,10.44030650891055,80.39900496896712,261.27571643763605,214.597297280278,[],['6.jpg']
36.jpg,86.02325267042627,83.02409288875127,51.24451190127583,48.01041553663122,13.601470508735444,14.31782106327635,112.04017136723776,268.26852219371546,231.48650068632512,"['13.jpg', '14.jpg', '16.jpg', '18.jpg', '19.jpg', '26.jpg', '34.jpg', '37.jpg', '40.jpg', '7.jpg']",[]
37.jpg,81.05553651663776,80.02499609497022,47.2652091923859,46.38965401897282,12.649110640673518,13.92838827718412,94.08506789071258,253.0494022913313,232.50215052768863,"['13.jpg', '16.jpg', '19.jpg', '26.jpg', '34.jpg', '36.jpg', '40.jpg', '7.jpg']","['14.jpg', '18.jpg']"
38.jpg,83.86298349093002,92.91393867445294,45.011109739707614,46.04345773288535,12.369316876852979,12.16552506059644,114.03946685248928,260.0173071162764,236.7709863982494,"['11.jpg', '15.jpg', '16.jpg', '19.jpg', '24.jpg', '29.jpg', '34.jpg', '4.jpg', '42.jpg', '43.jpg', '7.jpg']",['2.jpg']
